home_team,away_team,gameweek,datetime
EVE,WHU,9,2019-10-19
AVL,BHA,9,2019-10-19
BOU,NOR,9,2019-10-19
CHE,NEW,9,2019-10-19
LEI,BUR,9,2019-10-19
TOT,WAT,9,2019-10-19
WOL,SOU,9,2019-10-19
CRY,MCI,9,2019-10-19
MUN,LIV,9,2019-10-20
SHU,ARS,9,2019-10-21
SOU,LEI,10,2019-10-25
MCI,AVL,10,2019-10-26
BHA,EVE,10,2019-10-26
WAT,BOU,10,2019-10-26
WHU,SHU,10,2019-10-26
BUR,CHE,10,2019-10-26
NEW,WOL,10,2019-10-27
ARS,CRY,10,2019-10-27
LIV,TOT,10,2019-10-27
NOR,MUN,10,2019-10-27
BOU,MUN,11,2019-11-02
ARS,WOL,11,2019-11-02
AVL,LIV,11,2019-11-02
BHA,NOR,11,2019-11-02
MCI,SOU,11,2019-11-02
SHU,BUR,11,2019-11-02
WHU,NEW,11,2019-11-02
WAT,CHE,11,2019-11-02
CRY,LEI,11,2019-11-03
EVE,TOT,11,2019-11-03
NOR,WAT,12,2019-11-08
CHE,CRY,12,2019-11-09
BUR,WHU,12,2019-11-09
NEW,BOU,12,2019-11-09
SOU,EVE,12,2019-11-09
TOT,SHU,12,2019-11-09
LEI,ARS,12,2019-11-09
MUN,BHA,12,2019-11-10
WOL,AVL,12,2019-11-10
LIV,MCI,12,2019-11-10
WHU,TOT,13,2019-11-23
ARS,SOU,13,2019-11-23
BOU,WOL,13,2019-11-23
BHA,LEI,13,2019-11-23
CRY,LIV,13,2019-11-23
EVE,NOR,13,2019-11-23
WAT,BUR,13,2019-11-23
MCI,CHE,13,2019-11-23
SHU,MUN,13,2019-11-24
AVL,NEW,13,2019-11-25
NEW,MCI,14,2019-11-30
BUR,CRY,14,2019-11-30
CHE,WHU,14,2019-11-30
LIV,BHA,14,2019-11-30
TOT,BOU,14,2019-11-30
SOU,WAT,14,2019-11-30
NOR,ARS,14,2019-12-01
WOL,SHU,14,2019-12-01
LEI,EVE,14,2019-12-01
MUN,AVL,14,2019-12-01
ARS,BHA,15,2019-12-03
BUR,MCI,15,2019-12-03
LEI,WAT,15,2019-12-03
SHU,NEW,15,2019-12-03
WOL,WHU,15,2019-12-03
MUN,TOT,15,2019-12-03
CHE,AVL,15,2019-12-04
SOU,NOR,15,2019-12-04
CRY,BOU,15,2019-12-04
LIV,EVE,15,2019-12-04
AVL,LEI,16,2019-12-07
BOU,LIV,16,2019-12-07
BHA,WOL,16,2019-12-07
EVE,CHE,16,2019-12-07
MCI,MUN,16,2019-12-07
NEW,SOU,16,2019-12-07
NOR,SHU,16,2019-12-07
TOT,BUR,16,2019-12-07
WAT,CRY,16,2019-12-07
WHU,ARS,16,2019-12-07
ARS,MCI,17,2019-12-14
BUR,NEW,17,2019-12-14
CHE,BOU,17,2019-12-14
CRY,BHA,17,2019-12-14
LEI,NOR,17,2019-12-14
LIV,WAT,17,2019-12-14
MUN,EVE,17,2019-12-14
SHU,AVL,17,2019-12-14
SOU,WHU,17,2019-12-14
WOL,TOT,17,2019-12-14
AVL,SOU,18,2019-12-21
BOU,BUR,18,2019-12-21
BHA,SHU,18,2019-12-21
EVE,ARS,18,2019-12-21
MCI,LEI,18,2019-12-21
NEW,CRY,18,2019-12-21
NOR,WOL,18,2019-12-21
TOT,CHE,18,2019-12-21
WAT,MUN,18,2019-12-21
AVL,NOR,19,2019-12-26
BOU,ARS,19,2019-12-26
CHE,SOU,19,2019-12-26
CRY,WHU,19,2019-12-26
EVE,BUR,19,2019-12-26
LEI,LIV,19,2019-12-26
MUN,NEW,19,2019-12-26
SHU,WAT,19,2019-12-26
TOT,BHA,19,2019-12-26
WOL,MCI,19,2019-12-26
ARS,CHE,20,2019-12-28
BHA,BOU,20,2019-12-28
BUR,MUN,20,2019-12-28
LIV,WOL,20,2019-12-28
MCI,SHU,20,2019-12-28
NEW,EVE,20,2019-12-28
NOR,TOT,20,2019-12-28
SOU,CRY,20,2019-12-28
WAT,AVL,20,2019-12-28
WHU,LEI,20,2019-12-28
ARS,MUN,21,2020-01-01
BHA,CHE,21,2020-01-01
BUR,AVL,21,2020-01-01
LIV,SHU,21,2020-01-01
MCI,EVE,21,2020-01-01
NEW,LEI,21,2020-01-01
NOR,CRY,21,2020-01-01
SOU,TOT,21,2020-01-01
WAT,WOL,21,2020-01-01
WHU,BOU,21,2020-01-01
AVL,MCI,22,2020-01-11
BOU,WAT,22,2020-01-11
CHE,BUR,22,2020-01-11
CRY,ARS,22,2020-01-11
EVE,BHA,22,2020-01-11
LEI,SOU,22,2020-01-11
MUN,NOR,22,2020-01-11
SHU,WHU,22,2020-01-11
TOT,LIV,22,2020-01-11
WOL,NEW,22,2020-01-11
ARS,SHU,23,2020-01-18
BHA,AVL,23,2020-01-18
BUR,LEI,23,2020-01-18
LIV,MUN,23,2020-01-18
MCI,CRY,23,2020-01-18
NEW,CHE,23,2020-01-18
NOR,BOU,23,2020-01-18
SOU,WOL,23,2020-01-18
WAT,TOT,23,2020-01-18
WHU,EVE,23,2020-01-18
AVL,WAT,24,2020-01-21
BOU,BHA,24,2020-01-21
EVE,NEW,24,2020-01-21
LEI,WHU,24,2020-01-21
SHU,MCI,24,2020-01-21
WOL,LIV,24,2020-01-21
MUN,BUR,24,2020-01-21
CHE,ARS,24,2020-01-22
TOT,NOR,24,2020-01-22
CRY,SOU,24,2020-01-22
BOU,AVL,25,2020-02-01
BUR,ARS,25,2020-02-01
CRY,SHU,25,2020-02-01
LEI,CHE,25,2020-02-01
LIV,SOU,25,2020-02-01
MUN,WOL,25,2020-02-01
NEW,NOR,25,2020-02-01
TOT,MCI,25,2020-02-01
WAT,EVE,25,2020-02-01
WHU,BHA,25,2020-02-01
ARS,NEW,26,2020-02-08
AVL,TOT,26,2020-02-08
BHA,WAT,26,2020-02-08
CHE,MUN,26,2020-02-08
EVE,CRY,26,2020-02-08
MCI,WHU,26,2020-02-08
NOR,LIV,26,2020-02-08
SHU,BOU,26,2020-02-08
SOU,BUR,26,2020-02-08
WOL,LEI,26,2020-02-08
ARS,EVE,27,2020-02-22
BUR,BOU,27,2020-02-22
CHE,TOT,27,2020-02-22
CRY,NEW,27,2020-02-22
LEI,MCI,27,2020-02-22
LIV,WHU,27,2020-02-22
MUN,WAT,27,2020-02-22
SHU,BHA,27,2020-02-22
SOU,AVL,27,2020-02-22
WOL,NOR,27,2020-02-22
AVL,SHU,28,2020-02-29
BOU,CHE,28,2020-02-29
BHA,CRY,28,2020-02-29
EVE,MUN,28,2020-02-29
MCI,ARS,28,2020-02-29
NEW,BUR,28,2020-02-29
NOR,LEI,28,2020-02-29
TOT,WOL,28,2020-02-29
WAT,LIV,28,2020-02-29
WHU,SOU,28,2020-02-29
ARS,WHU,29,2020-03-07
BUR,TOT,29,2020-03-07
CHE,EVE,29,2020-03-07
CRY,WAT,29,2020-03-07
LEI,AVL,29,2020-03-07
LIV,BOU,29,2020-03-07
MUN,MCI,29,2020-03-07
SHU,NOR,29,2020-03-07
SOU,NEW,29,2020-03-07
WOL,BHA,29,2020-03-07
AVL,CHE,30,2020-03-14
BOU,CRY,30,2020-03-14
BHA,ARS,30,2020-03-14
EVE,LIV,30,2020-03-14
MCI,BUR,30,2020-03-14
NEW,SHU,30,2020-03-14
NOR,SOU,30,2020-03-14
TOT,MUN,30,2020-03-14
WAT,LEI,30,2020-03-14
WHU,WOL,30,2020-03-14
BUR,WAT,31,2020-03-21
CHE,MCI,31,2020-03-21
LEI,BHA,31,2020-03-21
LIV,CRY,31,2020-03-21
MUN,SHU,31,2020-03-21
NEW,AVL,31,2020-03-21
NOR,EVE,31,2020-03-21
SOU,ARS,31,2020-03-21
TOT,WHU,31,2020-03-21
WOL,BOU,31,2020-03-21
ARS,NOR,32,2020-04-04
AVL,WOL,32,2020-04-04
BOU,NEW,32,2020-04-04
BHA,MUN,32,2020-04-04
CRY,BUR,32,2020-04-04
EVE,LEI,32,2020-04-04
MCI,LIV,32,2020-04-04
SHU,TOT,32,2020-04-04
WAT,SOU,32,2020-04-04
WHU,CHE,32,2020-04-04
BUR,SHU,33,2020-04-11
CHE,WAT,33,2020-04-11
LEI,CRY,33,2020-04-11
LIV,AVL,33,2020-04-11
MUN,BOU,33,2020-04-11
NEW,WHU,33,2020-04-11
NOR,BHA,33,2020-04-11
SOU,MCI,33,2020-04-11
TOT,EVE,33,2020-04-11
WOL,ARS,33,2020-04-11
ARS,LEI,34,2020-04-18
AVL,MUN,34,2020-04-18
BOU,TOT,34,2020-04-18
BHA,LIV,34,2020-04-18
CRY,CHE,34,2020-04-18
EVE,SOU,34,2020-04-18
MCI,NEW,34,2020-04-18
SHU,WOL,34,2020-04-18
WAT,NOR,34,2020-04-18
WHU,BUR,34,2020-04-18
AVL,CRY,35,2020-04-25
BOU,LEI,35,2020-04-25
BHA,MCI,35,2020-04-25
LIV,BUR,35,2020-04-25
MUN,SOU,35,2020-04-25
NOR,WHU,35,2020-04-25
SHU,CHE,35,2020-04-25
TOT,ARS,35,2020-04-25
WAT,NEW,35,2020-04-25
WOL,EVE,35,2020-04-25
ARS,LIV,36,2020-05-02
BUR,WOL,36,2020-05-02
CHE,NOR,36,2020-05-02
CRY,MUN,36,2020-05-02
EVE,AVL,36,2020-05-02
LEI,SHU,36,2020-05-02
MCI,BOU,36,2020-05-02
NEW,TOT,36,2020-05-02
SOU,BHA,36,2020-05-02
WHU,WAT,36,2020-05-02
AVL,ARS,37,2020-05-09
BOU,SOU,37,2020-05-09
BHA,NEW,37,2020-05-09
LIV,CHE,37,2020-05-09
MUN,WHU,37,2020-05-09
NOR,BUR,37,2020-05-09
SHU,EVE,37,2020-05-09
TOT,LEI,37,2020-05-09
WAT,MCI,37,2020-05-09
WOL,CRY,37,2020-05-09
ARS,WAT,38,2020-05-17
BUR,BHA,38,2020-05-17
CHE,WOL,38,2020-05-17
CRY,TOT,38,2020-05-17
EVE,BOU,38,2020-05-17
LEI,MUN,38,2020-05-17
MCI,NOR,38,2020-05-17
NEW,LIV,38,2020-05-17
SOU,SHU,38,2020-05-17
WHU,AVL,38,2020-05-17
